Date,Category,Index
2016-12-31,PA6,66.8
2016-12-24,PA6,66.67
2016-12-17,PA6,65.67
2016-12-10,PA6,56.67
2016-12-03,PA6,66.33
2017-01-31,PA6,67.2
2017-01-24,PA6,67.2
2017-01-17,PA6,67.2
2017-01-10,PA6,66.67
2017-01-03,PA6,67.2
2017-02-28,PA6,73.33
2017-02-21,PA6,71.67
2017-02-14,PA6,70.8
2017-02-07,PA6,71.47
2017-02-01,PA6,73.33
2017-03-31,PA6,50.67
2017-03-24,PA6,58.33
2017-03-17,PA6,66.13
2017-03-10,PA6,69.53
2017-03-03,PA6,50.67
2017-04-30,PA6,48.47
2017-04-23,PA6,51.0
2017-04-16,PA6,51.67
2017-04-09,PA6,51.33
2017-04-02,PA6,48.47
2017-05-31,PA6,47.27
2017-05-24,PA6,47.0
2017-05-17,PA6,44.87
2017-05-10,PA6,50.27
2017-05-03,PA6,48.27
2017-06-30,PA6,49.67
2017-06-23,PA6,50.8
2017-06-16,PA6,50.67
2017-06-09,PA6,50.27
2017-06-02,PA6,49.67
2017-07-31,PA6,57.33
2017-07-24,PA6,56.22
2017-07-17,PA6,54.06
2017-07-10,PA6,50.67
2017-07-03,PA6,57.94
2017-08-31,PA6,52.83
2017-08-24,PA6,54.61
2017-08-17,PA6,56.22
2017-08-10,PA6,57.94
2017-08-03,PA6,52.83
2017-09-30,PA6,60.67
2017-09-23,PA6,59.5
2017-09-16,PA6,58.61
2017-09-09,PA6,55.56
2017-09-02,PA6,60.67
2017-10-31,PA6,68.06
2017-10-24,PA6,67.39
2017-10-17,PA6,64.28
2017-10-10,PA6,62.22
2017-10-03,PA6,65.83
2017-11-30,PA6,62.11
2017-11-23,PA6,62.17
2017-11-16,PA6,59.72
2017-11-09,PA6,61.28
2017-11-02,PA6,61.94
2017-12-31,PA6,60.5
2017-12-24,PA6,61.28
2017-12-17,PA6,61.17
2017-12-10,PA6,61.28
2017-12-03,PA6,60.39
2018-01-31,PA6,60.89
2018-01-24,PA6,59.94
2018-01-17,PA6,59.67
2018-01-10,PA6,61.06
2018-01-03,PA6,60.89
2018-02-28,PA6,61.22
2018-02-21,PA6,61.06
2018-02-14,PA6,61.06
2018-02-07,PA6,63.33
2018-02-01,PA6,61.94
2018-03-31,PA6,61.94
2018-03-24,PA6,63.06
2018-03-17,PA6,64.0
2018-03-10,PA6,63.89
2018-03-03,PA6,61.94
2018-04-30,PA6,59.11
2018-04-23,PA6,60.17
2018-04-16,PA6,60.94
2018-04-09,PA6,61.44
2018-04-02,PA6,59.11
2018-05-31,PA6,61.33
2018-05-24,PA6,61.11
2018-05-17,PA6,60.22
2018-05-10,PA6,59.5
2018-05-03,PA6,61.61
2018-06-30,PA6,60.17
2018-06-23,PA6,60.5
2018-06-16,PA6,61.61
2018-06-09,PA6,62.33
2018-06-02,PA6,60.17
2018-07-31,PA6,62.64
2018-07-24,PA6,62.0
2018-07-17,PA6,60.78
2018-07-10,PA6,60.56
2018-07-03,PA6,62.37
2018-08-31,PA6,
2018-08-24,PA6,62.89
2018-08-17,PA6,62.66
2018-08-10,PA6,62.37
2018-08-03,PA6,
2018-09-30,PA6,
2018-09-23,PA6,
2018-09-16,PA6,
2018-09-09,PA6,
2018-09-02,PA6,
2018-10-31,PA6,
2018-10-24,PA6,
2018-10-17,PA6,
2018-10-10,PA6,
2018-10-03,PA6,
2018-11-30,PA6,
2018-11-23,PA6,
2018-11-16,PA6,
2018-11-09,PA6,
2018-11-02,PA6,
2018-12-31,PA6,
2018-12-24,PA6,
2018-12-17,PA6,
2018-12-10,PA6,
2018-12-03,PA6,
2014-01-31,Crude Oil,106.19
2014-01-24,Crude Oil,107.66
2014-01-17,Crude Oil,106.27
2014-01-10,Crude Oil,107.04
2014-01-03,Crude Oil,105.83
2014-02-28,Crude Oil,108.85
2014-02-21,Crude Oil,109.61
2014-02-14,Crude Oil,108.86
2014-02-07,Crude Oil,108.78
2014-02-01,Crude Oil,108.85
2014-03-31,Crude Oil,107.54
2014-03-24,Crude Oil,106.6
2014-03-17,Crude Oil,106.03
2014-03-10,Crude Oil,107.86
2014-03-03,Crude Oil,105.94
2014-04-30,Crude Oil,107.85
2014-04-23,Crude Oil,108.89
2014-04-16,Crude Oil,109.38
2014-04-09,Crude Oil,107.67
2014-04-02,Crude Oil,108.37
2014-05-31,Crude Oil,109.19
2014-05-24,Crude Oil,110.32
2014-05-17,Crude Oil,109.53
2014-05-10,Crude Oil,107.67
2014-05-03,Crude Oil,108.6
2014-06-30,Crude Oil,113.07
2014-06-23,Crude Oil,114.58
2014-06-16,Crude Oil,113.18
2014-06-09,Crude Oil,109.77
2014-06-02,Crude Oil,112.07
2014-07-31,Crude Oil,107.36
2014-07-24,Crude Oil,107.81
2014-07-17,Crude Oil,106.96
2014-07-10,Crude Oil,108.06
2014-07-03,Crude Oil,105.81
2014-08-31,Crude Oil,102.98
